city,total_trips,completion_rate,avg_fee,cancellation_rate,avg_distance
Constantine,58333,0.48317418956679753,514.9217938388219,0.5168258104332025,15192.34765912948
Jijel,7,0.0,185.0,1.0,3081.0
Souk Ahras,2,0.0,6449.0,1.0,266280.5
Sidi Bel Abbès,3,0.0,4788.333333333333,1.0,192506.66666666666
El Tarf,4,0.0,4562.5,1.0,156649.25
Ghardaïa,2,0.0,921.5,1.0,29453.0
Tissemsilt,1,0.0,5900.0,1.0,221477.0
Tlemcen,2753,0.4173628768616055,661.3516164184526,0.5826371231383944,21075.315655648385
Tébessa,1,0.0,484.0,1.0,13566.0
Bouira,6,0.0,1340.3333333333333,1.0,54969.666666666664
Laghouat,2,0.0,318.5,1.0,3245.0
Médéa,6,0.16666666666666666,2463.3333333333335,0.8333333333333334,90737.33333333333
Khenchela,2,0.0,12386.5,1.0,480042.0
Annaba,8507,0.39238274362289877,817.1335370871047,0.6076172563771012,21254.339602680146
Béjaïa,4521,0.36606945366069454,1386.3083388630835,0.6339305463393055,38370.9398363194
Tizi Ouzou,4048,0.29891304347826086,1675.8945158102767,0.7010869565217391,49925.4246541502
Relizane,2,0.0,3424.5,1.0,112453.5
Mila,9,0.0,1375.6666666666667,1.0,47099.11111111111
Djelfa,4,0.0,5344.0,1.0,190053.0
Batna,5793,0.384774728120145,475.1986880718108,0.615225271879855,14151.758846884171
Ouargla,231,0.0,3043.969696969697,1.0,149744.23376623375
Mascara,2,0.0,8837.0,1.0,292389.0
M'Sila,3,0.0,4290.0,1.0,179839.33333333334
Tiaret,2,0.0,2725.0,1.0,129029.0
Adrar,2,0.0,17135.5,1.0,699423.5
Aïn Témouchent,1,0.0,1641.0,1.0,74899.0
Oum El Bouaghi,3,0.0,1934.0,1.0,58544.666666666664
Oran,78928,0.49130853436042976,833.0046117980945,0.5086914656395702,28064.16127356578
Tipaza,5954,0.3295263688276789,1220.3120591199195,0.6704736311723212,36064.18273429627
Boumerdès,6522,0.34375958295001535,1158.4173566390677,0.6562404170499847,33360.440509046304
Blida,12514,0.3612753715838261,1006.5956528687869,0.6387246284161738,28313.2000958926
Skikda,633,0.02843601895734597,1163.2417061611375,0.9715639810426541,44025.62401263823
El Oued,170,0.0,2406.794117647059,1.0,104147.79411764706
Tamanrasset,1,0.0,300.0,1.0,2199.0
Naâma,1,0.0,975.0,1.0,29989.0
Sétif,6490,0.325115562403698,564.3687211093991,0.674884437596302,19648.4719568567
Bordj Bou Arreridj‎,4,0.0,1099.0,1.0,47526.5
Mostaganem,3,0.0,1993.3333333333333,1.0,61828.0
Guelma,2,0.0,1548.5,1.0,60545.5
Alger,526632,0.4672446793966185,669.5581012927433,0.5327553206033815,16206.87299860244
Biskra,361,0.038781163434903045,1552.05540166205,0.961218836565097,78036.73130193906
Chlef,927,0.14670981661272922,1794.680690399137,0.8532901833872708,58666.07335490831
Aïn Defla,14,0.0,4287.428571428572,1.0,172890.14285714287
